window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,6,≥0.1,0.1,0.864396,0.224624,0.119937,-0.872851,0.153048,3.65923e+06,
6,6,≥4,4,0.91901,0.0314634,0.0354217,0.11175,0.0385625,3.65923e+06,
6,6,≥13,13,0.795167,0.0103857,0.0116907,0.11163,0.0121632,3.65923e+06,
6,6,≥25,25,0.66535,0.00399169,0.00413641,0.0349869,0.00422028,3.65923e+06,
6,6,AVG,,0.810981,0.0676163,,-0.153621,,,4
6,12,≥0.1,0.1,0.891385,0.198975,0.120774,-0.6475,0.157212,3.66334e+06,
6,12,≥4,4,0.906605,0.0396956,0.0401949,0.0124222,0.044577,3.66334e+06,
6,12,≥13,13,0.747533,0.0129385,0.013682,0.0543415,0.0143541,3.66334e+06,
6,12,≥25,25,0.605885,0.00493168,0.00493964,0.00161157,0.00506122,3.66334e+06,
6,12,AVG,,0.787852,0.0641352,,-0.144781,,,4
6,18,≥0.1,0.1,0.90504,0.131965,0.118751,-0.111276,0.151104,3.66348e+06,
6,18,≥4,4,0.878456,0.0305894,0.0346374,0.116869,0.0372447,3.66348e+06,
6,18,≥13,13,0.730471,0.010072,0.0109236,0.0779566,0.0112767,3.66348e+06,
6,18,≥25,25,0.626415,0.00388615,0.0039789,0.0233091,0.00405025,3.66348e+06,
6,18,AVG,,0.785095,0.0441282,,0.0267147,,,4
6,24,≥0.1,0.1,0.905477,0.12944,0.125684,-0.0298853,0.165117,3.66013e+06,
6,24,≥4,4,0.91914,0.0298228,0.0386974,0.229334,0.0423209,3.66013e+06,
6,24,≥13,13,0.811646,0.0115349,0.013585,0.150911,0.0141675,3.66013e+06,
6,24,≥25,25,0.692871,0.00499639,0.00528142,0.0539673,0.00540418,3.66013e+06,
6,24,AVG,,0.832283,0.0439485,,0.101082,,,4
6,30,≥0.1,0.1,0.863886,0.217793,0.119983,-0.815194,0.153113,3.65923e+06,
6,30,≥4,4,0.916021,0.0308577,0.0354208,0.128827,0.0385617,3.65923e+06,
6,30,≥13,13,0.800967,0.0102761,0.0116907,0.121006,0.0121632,3.65923e+06,
6,30,≥25,25,0.667977,0.00396578,0.00413641,0.0412493,0.00422029,3.65923e+06,
6,30,AVG,,0.812213,0.065723,,-0.131028,,,4
6,36,≥0.1,0.1,0.886412,0.193853,0.120859,-0.603961,0.157324,3.66338e+06,
6,36,≥4,4,0.901966,0.0392039,0.0401955,0.0246693,0.0445777,3.66338e+06,
6,36,≥13,13,0.731204,0.0129514,0.0136818,0.0533889,0.014354,3.66338e+06,
6,36,≥25,25,0.602064,0.00491127,0.0049396,0.00573524,0.00506118,3.66338e+06,
6,36,AVG,,0.780411,0.06273,,-0.130042,,,4
6,42,≥0.1,0.1,0.898645,0.130748,0.118903,-0.0996148,0.151307,3.66349e+06,
6,42,≥4,4,0.876304,0.0308986,0.0346612,0.108552,0.0372691,3.66349e+06,
6,42,≥13,13,0.728155,0.0103431,0.0109235,0.0531385,0.0112767,3.66349e+06,
6,42,≥25,25,0.62125,0.00392141,0.00397888,0.0144427,0.00405023,3.66349e+06,
6,42,AVG,,0.781089,0.0439777,,0.0191296,,,4
6,48,≥0.1,0.1,0.898822,0.129697,0.125897,-0.0301825,0.165398,3.66016e+06,
6,48,≥4,4,0.913469,0.0313577,0.0387627,0.191035,0.042388,3.66016e+06,
6,48,≥13,13,0.80035,0.0120174,0.013592,0.115849,0.0141745,3.66016e+06,
6,48,≥25,25,0.679602,0.00511473,0.00528165,0.0316039,0.0054044,3.66016e+06,
6,48,AVG,,0.823061,0.0445466,,0.0770762,,,4
6,54,≥0.1,0.1,0.856291,0.217048,0.120236,-0.805182,0.153446,3.65925e+06,
6,54,≥4,4,0.911327,0.0323806,0.0355346,0.0887589,0.0386796,3.65925e+06,
6,54,≥13,13,0.797638,0.0106022,0.0117054,0.0942406,0.0121779,3.65925e+06,
6,54,≥25,25,0.664184,0.00401593,0.00413639,0.029122,0.00422027,3.65925e+06,
6,54,AVG,,0.80736,0.0660118,,-0.148265,,,4
6,60,≥0.1,0.1,0.878978,0.193158,0.121187,-0.593886,0.157739,3.66337e+06,
6,60,≥4,4,0.899391,0.0401138,0.0402907,0.00439061,0.0446772,3.66337e+06,
6,60,≥13,13,0.743602,0.0131305,0.0136981,0.0414393,0.0143704,3.66337e+06,
6,60,≥25,25,0.613632,0.00494787,0.00493987,-0.00161981,0.00506147,3.66337e+06,
6,60,AVG,,0.783901,0.0628376,,-0.137419,,,4
6,66,≥0.1,0.1,0.892021,0.131699,0.11919,-0.104951,0.151706,3.65349e+06,
6,66,≥4,4,0.87621,0.0315592,0.0347549,0.0919496,0.0373708,3.65349e+06,
6,66,≥13,13,0.735996,0.0105463,0.0109531,0.0371406,0.0113073,3.65349e+06,
6,66,≥25,25,0.634578,0.00395585,0.00398977,0.00850143,0.00406132,3.65349e+06,
6,66,AVG,,0.784701,0.0444401,,0.00816005,,,4
6,72,≥0.1,0.1,0.892277,0.130764,0.126174,-0.0363806,0.165802,3.65019e+06,
6,72,≥4,4,0.911099,0.0323875,0.0388664,0.166699,0.0425027,3.65019e+06,
6,72,≥13,13,0.822565,0.0122846,0.0136291,0.0986484,0.0142132,3.65019e+06,
6,72,≥25,25,0.716496,0.00515,0.00529607,0.0275819,0.00541917,3.65019e+06,
6,72,AVG,,0.835609,0.0451465,,0.0641372,,,4
