window_h,lead_h,grade,threshold_mm,hits,misses,false_alarms,n_pairs,TS,POD,FAR,漏报率,BIAS
24,24,≥0.1,0.1,1062048,54206,970422,3628973,0.508966,0.951439,0.477459,0.0485606,1.8208
24,24,≥10,10,216863,56132,253165,3628973,0.412162,0.794385,0.538617,0.205615,1.72175
24,24,≥25,25,56237,44458,72947,3628973,0.323867,0.558489,0.564675,0.441511,1.28292
24,24,≥50,50,7621,20748,9900,3628973,0.199143,0.268638,0.565036,0.731362,0.617611
24,24,≥100,100,310,3943,306,3628973,0.0679974,0.0728897,0.496753,0.92711,0.144839
24,48,≥0.1,0.1,1068474,47921,1180323,3629007,0.465218,0.957075,0.524869,0.0429248,2.01434
24,48,≥10,10,214290,58700,281706,3629007,0.38632,0.784974,0.56796,0.215026,1.8169
24,48,≥25,25,55358,45337,82905,3629007,0.301514,0.549759,0.599618,0.450241,1.37309
24,48,≥50,50,6690,21679,9263,3629007,0.177774,0.235821,0.580643,0.764179,0.562339
24,48,≥100,100,199,4054,230,3629007,0.0443899,0.0467905,0.536131,0.953209,0.10087
24,72,≥0.1,0.1,1068471,49050,1327023,3629030,0.437084,0.956108,0.553966,0.0438918,2.14358
24,72,≥10,10,209618,63502,299834,3629030,0.365855,0.767494,0.588542,0.232506,1.8653
24,72,≥25,25,51883,48813,89296,3629030,0.27308,0.515244,0.632502,0.484756,1.40203
24,72,≥50,50,5747,22622,10227,3629030,0.148901,0.20258,0.640228,0.79742,0.563079
24,72,≥100,100,157,4096,224,3629030,0.0350681,0.0369151,0.587927,0.963085,0.0895838
24,96,≥0.1,0.1,1064239,52114,1420587,3619094,0.419497,0.953318,0.571705,0.0466824,2.22584
24,96,≥10,10,201635,71479,313195,3619094,0.343906,0.738281,0.608346,0.261719,1.88504
24,96,≥25,25,47804,52890,90902,3619094,0.249504,0.474745,0.655357,0.525255,1.3775
24,96,≥50,50,4324,24044,9623,3619094,0.113816,0.152425,0.689969,0.847575,0.491646
24,96,≥100,100,75,4178,193,3619094,0.0168691,0.0176346,0.720149,0.982365,0.0630143
24,120,≥0.1,0.1,1059423,56420,1488215,3609182,0.406835,0.949437,0.584155,0.0505627,2.28315
24,120,≥10,10,192241,80869,325161,3609182,0.321328,0.703896,0.628449,0.296104,1.89448
24,120,≥25,25,41728,58964,88828,3609182,0.220177,0.414412,0.680382,0.585588,1.29659
24,120,≥50,50,3640,24727,8794,3609182,0.0979522,0.128318,0.707254,0.871682,0.438326
24,120,≥100,100,66,4186,157,3609182,0.0149694,0.0155221,0.704036,0.984478,0.0524459
24,144,≥0.1,0.1,1048342,66795,1535991,3599304,0.395432,0.940102,0.594347,0.0598985,2.3175
24,144,≥10,10,180220,92886,335839,3599304,0.295954,0.65989,0.650776,0.34011,1.88959
24,144,≥25,25,36485,64205,89558,3599304,0.191776,0.36235,0.710535,0.63765,1.25179
24,144,≥50,50,2803,25562,8197,3599304,0.0766643,0.098819,0.745182,0.901181,0.387802
24,144,≥100,100,44,4207,128,3599304,0.010048,0.0103505,0.744186,0.989649,0.0404611
24,168,≥0.1,0.1,1040826,72821,1580641,3589427,0.386308,0.93461,0.60296,0.0653897,2.35395
24,168,≥10,10,167642,105443,349986,3589427,0.269058,0.613882,0.676134,0.386118,1.89548
24,168,≥25,25,31413,69273,91488,3589427,0.163461,0.31199,0.744404,0.68801,1.22064
24,168,≥50,50,2308,26056,9057,3589427,0.0616766,0.0813708,0.79692,0.918629,0.400684
24,168,≥100,100,69,4182,165,3589427,0.015625,0.0162315,0.705128,0.983769,0.0550459
24,192,≥0.1,0.1,1026768,84831,1625447,3579552,0.375137,0.923686,0.612864,0.0763144,2.38595
24,192,≥10,10,156002,117028,381468,3579552,0.238354,0.571373,0.709748,0.428627,1.96854
24,192,≥25,25,28750,71930,100970,3579552,0.142574,0.285558,0.778369,0.714442,1.28844
24,192,≥50,50,2027,26336,8461,3579552,0.0550456,0.0714663,0.806732,0.928534,0.369778
24,192,≥100,100,25,4225,197,3579552,0.00562177,0.00588235,0.887387,0.994118,0.0522353
24,216,≥0.1,0.1,1021006,88973,1697732,3569658,0.363644,0.919843,0.624456,0.0801574,2.44936
24,216,≥10,10,147471,125546,420565,3569658,0.212622,0.540153,0.740384,0.459847,2.08059
24,216,≥25,25,29029,71649,129650,3569658,0.126033,0.288335,0.817058,0.711665,1.5761
24,216,≥50,50,1988,26374,13497,3569658,0.0474928,0.0700938,0.871618,0.929906,0.545977
24,216,≥100,100,48,4202,350,3569658,0.0104348,0.0112941,0.879397,0.988706,0.0936471
24,240,≥0.1,0.1,1021555,87382,1834053,3559761,0.347115,0.921202,0.642264,0.078798,2.57509
24,240,≥10,10,146643,126359,499454,3559761,0.18984,0.53715,0.773033,0.46285,2.36664
24,240,≥25,25,34461,66215,224107,3559761,0.106105,0.342296,0.866724,0.657704,2.56832
24,240,≥50,50,2950,25411,49381,3559761,0.037946,0.104016,0.943628,0.895984,1.84517
24,240,≥100,100,55,4195,3088,3559761,0.00749523,0.0129412,0.982501,0.987059,0.739529
24,264,≥0.1,0.1,1033720,74519,2020785,3549857,0.330365,0.932759,0.661575,0.0672409,2.75618
24,264,≥10,10,140691,132306,590135,3549857,0.163001,0.515357,0.80749,0.484643,2.67705
24,264,≥25,25,37121,63552,335232,3549857,0.0851585,0.368728,0.900307,0.631272,3.69864
24,264,≥50,50,4743,23616,125274,3549857,0.0308723,0.167248,0.96352,0.832752,4.58468
24,264,≥100,100,137,4112,21012,3549857,0.00542338,0.0322429,0.993522,0.967757,4.97741
24,288,≥0.1,0.1,1052641,55162,2156932,3539952,0.322428,0.950206,0.672031,0.0497941,2.89724
24,288,≥10,10,117743,155247,541235,3539952,0.144607,0.431309,0.821325,0.568691,2.41393
24,288,≥25,25,29066,71603,297527,3539952,0.0729942,0.288728,0.911002,0.711272,3.24423
24,288,≥50,50,3960,24398,119925,3539952,0.0267057,0.139643,0.968035,0.860357,4.36861
24,288,≥100,100,101,4147,24035,3539952,0.00357105,0.0237759,0.995815,0.976224,5.68173
24,312,≥0.1,0.1,1057467,49343,2218514,3530039,0.318004,0.955419,0.677206,0.0445813,2.95984
24,312,≥10,10,64246,208726,336577,3530039,0.105399,0.235357,0.839715,0.764643,1.46837
24,312,≥25,25,12164,88504,148444,3530039,0.0488294,0.120833,0.924263,0.879167,1.59542
24,312,≥50,50,1298,27059,46601,3530039,0.0173164,0.0457735,0.972901,0.954226,1.68914
24,312,≥100,100,39,4209,7067,3530039,0.00344675,0.00918079,0.994512,0.990819,1.67279
24,336,≥0.1,0.1,1057399,48323,2235801,3520176,0.316442,0.956297,0.678914,0.0437027,2.97833
24,336,≥10,10,27978,244959,185731,3520176,0.0609984,0.102507,0.869084,0.897493,0.782998
