window_h,lead_h,grade,threshold_mm,hits,misses,false_alarms,n_pairs,TS,POD,FAR,漏报率,BIAS
24,24,≥0.1,0.1,1053429,45439,929900,3510379,0.519246,0.958649,0.468858,0.0413507,1.80488
24,24,≥10,10,196715,75056,160234,3510379,0.455354,0.723826,0.448899,0.276174,1.31342
24,24,≥25,25,44245,56381,32221,3510379,0.333052,0.439697,0.421377,0.560303,0.759903
24,24,≥50,50,6438,21920,4813,3510379,0.194085,0.227026,0.427784,0.772974,0.396749
24,24,≥100,100,395,3858,404,3510379,0.0848186,0.0928756,0.505632,0.907124,0.187867
24,24,≥250,250,0,127,2,3510379,0,0,1,1,0.015748
24,48,≥0.1,0.1,1053783,45382,990596,3510468,0.50426,0.958712,0.484546,0.0412877,1.85994
24,48,≥10,10,188919,82913,169790,3510468,0.427784,0.694984,0.473336,0.305016,1.3196
24,48,≥25,25,38072,62567,30272,3510468,0.290824,0.378303,0.442936,0.621697,0.679101
24,48,≥50,50,4834,23526,3846,3510468,0.150096,0.170451,0.443088,0.829549,0.306065
24,48,≥100,100,296,3957,406,3510468,0.0635329,0.0695979,0.578348,0.930402,0.16506
24,48,≥250,250,0,127,1,3510468,0,0,1,1,0.00787402
24,72,≥0.1,0.1,1051371,48416,1037320,3510537,0.49196,0.955977,0.496636,0.0440231,1.89918
24,72,≥10,10,179870,92017,176816,3510537,0.400866,0.661562,0.495719,0.338438,1.31189
24,72,≥25,25,35246,65398,31963,3510537,0.265793,0.350205,0.475576,0.649795,0.667789
24,72,≥50,50,4221,24143,3663,3510537,0.131795,0.148815,0.464612,0.851185,0.277958
24,72,≥100,100,219,4034,257,3510537,0.0485588,0.0514931,0.539916,0.948507,0.111921
24,72,≥250,250,0,127,0,3510537,0,0,,1,0
24,96,≥0.1,0.1,1045690,54305,1075029,3510545,0.480772,0.950632,0.506917,0.0493684,1.92794
24,96,≥10,10,171480,100436,186496,3510545,0.374074,0.630636,0.520973,0.369364,1.31649
24,96,≥25,25,32199,68443,33447,3510545,0.240132,0.319936,0.509506,0.680064,0.652272
24,96,≥50,50,3549,24814,4226,3510545,0.108902,0.125128,0.543537,0.874872,0.274125
24,96,≥100,100,177,4076,341,3510545,0.0385285,0.0416177,0.658301,0.958382,0.121796
24,96,≥250,250,0,127,0,3510545,0,0,,1,0
24,120,≥0.1,0.1,1041167,60261,1102264,3510588,0.472465,0.945288,0.514252,0.0547117,1.94605
24,120,≥10,10,162169,109896,197954,3510588,0.345026,0.596067,0.549684,0.403933,1.32367
24,120,≥25,25,28468,72180,36005,3510588,0.208323,0.282847,0.558451,0.717153,0.640579
24,120,≥50,50,3266,25097,5067,3510588,0.0976967,0.11515,0.608064,0.88485,0.293798
24,120,≥100,100,180,4072,375,3510588,0.0389021,0.042333,0.675676,0.957667,0.130527
24,120,≥250,250,0,127,0,3510588,0,0,,1,0
24,144,≥0.1,0.1,1030388,71441,1126214,3510581,0.462463,0.935161,0.522217,0.0648386,1.95729
24,144,≥10,10,152950,119120,210285,3510581,0.31709,0.562171,0.578923,0.437829,1.33508
24,144,≥25,25,26256,74393,37981,3510581,0.189396,0.260867,0.591264,0.739133,0.638228
24,144,≥50,50,2787,25574,5335,3510581,0.0827101,0.0982687,0.656858,0.901731,0.286379
24,144,≥100,100,78,4173,325,3510581,0.0170455,0.0183486,0.806452,0.981651,0.0948012
