window_h,lead_h,grade,threshold_mm,hits,misses,false_alarms,n_pairs,TS,POD,FAR,漏报率,BIAS
24,24,≥0.1,0.1,1059516,58708,886518,3648837,0.528505,0.947499,0.455551,0.0525011,1.74029
24,24,≥10,10,172814,100313,116339,3648837,0.44372,0.632724,0.402344,0.367276,1.05868
24,24,≥25,25,36377,64320,23030,3648837,0.29401,0.361252,0.387665,0.638748,0.589958
24,24,≥50,50,4439,23930,3003,3648837,0.141496,0.156474,0.403521,0.843526,0.262329
24,24,≥100,100,195,4058,146,3648837,0.0443283,0.04585,0.428152,0.95415,0.0801787
24,24,≥250,250,0,127,0,3648837,0,0,,1,0
24,48,≥0.1,0.1,1044908,72967,848428,3638942,0.531407,0.934727,0.448113,0.065273,1.69369
24,48,≥10,10,152344,120778,93224,3638942,0.415847,0.557787,0.379626,0.442213,0.899115
24,48,≥25,25,28065,72632,15532,3638942,0.241463,0.278707,0.356263,0.721293,0.432952
24,48,≥50,50,2648,25721,1476,3638942,0.0887251,0.0933413,0.357905,0.906659,0.14537
24,48,≥100,100,130,4123,85,3638942,0.0299677,0.0305667,0.395349,0.969433,0.0505526
24,48,≥250,250,0,127,0,3638942,0,0,,1,0
24,72,≥0.1,0.1,1034611,82910,844791,3629030,0.527241,0.925809,0.4495,0.074191,1.68176
24,72,≥10,10,136305,136815,86323,3629030,0.379212,0.499066,0.387745,0.500934,0.815129
24,72,≥25,25,23143,77553,13286,3629030,0.203041,0.22983,0.364709,0.77017,0.361772
24,72,≥50,50,1785,26584,968,3629030,0.0608447,0.0629208,0.351616,0.937079,0.0970425
24,72,≥100,100,81,4172,20,3629030,0.0189562,0.0190454,0.19802,0.980955,0.0237479
24,72,≥250,250,0,127,0,3629030,0,0,,1,0
24,96,≥0.1,0.1,1019891,96462,843907,3619094,0.520284,0.913592,0.452789,0.0864082,1.66954
24,96,≥10,10,119145,153969,77377,3619094,0.339937,0.436246,0.393732,0.563754,0.71956
24,96,≥25,25,17180,83514,10922,3619094,0.153921,0.170616,0.388656,0.829384,0.279083
24,96,≥50,50,977,27391,620,3619094,0.0337036,0.0344402,0.388228,0.96556,0.0562958
24,96,≥100,100,39,4214,12,3619094,0.0091442,0.00917,0.235294,0.99083,0.0119915
24,96,≥250,250,0,127,0,3619094,0,0,,1,0
24,120,≥0.1,0.1,999264,116579,838242,3609182,0.511372,0.895524,0.456185,0.104476,1.64674
24,120,≥10,10,101683,171427,70391,3609182,0.29602,0.372315,0.409074,0.627685,0.630054
24,120,≥25,25,13338,87354,9291,3609182,0.121273,0.132463,0.410579,0.867537,0.224735
24,120,≥50,50,775,27592,728,3609182,0.0266369,0.0273205,0.484365,0.97268,0.0529841
24,120,≥100,100,3,4249,2,3609182,0.000705219,0.00070555,0.4,0.999294,0.00117592
24,120,≥250,250,0,127,0,3609182,0,0,,1,0
24,144,≥0.1,0.1,970084,145053,827426,3599304,0.499384,0.869924,0.460318,0.130076,1.61192
24,144,≥10,10,85463,187643,59395,3599304,0.257031,0.31293,0.410022,0.68707,0.530409
24,144,≥25,25,9495,91195,5992,3599304,0.0890028,0.0942993,0.386905,0.905701,0.153809
24,144,≥50,50,397,27968,399,3599304,0.013802,0.0139961,0.501256,0.986004,0.0280628
24,144,≥100,100,9,4242,3,3599304,0.00211566,0.00211715,0.25,0.997883,0.00282287
24,144,≥250,250,0,127,0,3599304,0,0,,1,0
24,168,≥0.1,0.1,946300,167347,829077,3589427,0.4871,0.849731,0.466986,0.150269,1.5942
24,168,≥10,10,77468,195617,60156,3589427,0.232468,0.283677,0.437104,0.716323,0.50396
24,168,≥25,25,8364,92322,5796,3589427,0.0785485,0.0830701,0.409322,0.91693,0.140635
24,168,≥50,50,288,28076,320,3589427,0.0100404,0.0101537,0.526316,0.989846,0.0214356
24,168,≥100,100,0,4251,0,3589427,0,0,,1,0
24,168,≥250,250,0,127,0,3589427,0,0,,1,0
24,192,≥0.1,0.1,930597,181002,880109,3579552,0.467236,0.83717,0.486058,0.16283,1.62892
24,192,≥10,10,82687,190343,92461,3579552,0.226235,0.30285,0.527902,0.69715,0.641497
24,192,≥25,25,9452,91228,11043,3579552,0.0846021,0.0938816,0.538814,0.906118,0.203566
24,192,≥50,50,297,28066,494,3579552,0.0102921,0.0104714,0.624526,0.989529,0.0278884
24,192,≥100,100,1,4249,5,3579552,0.000235018,0.000235294,0.833333,0.999765,0.00141176
24,192,≥250,250,0,127,0,3579552,0,0,,1,0
24,216,≥0.1,0.1,902251,207728,914091,3569658,0.445761,0.812854,0.503259,0.187146,1.63638
24,216,≥10,10,73023,199994,95723,3569658,0.198034,0.267467,0.567261,0.732533,0.618079
24,216,≥25,25,7800,92878,12324,3569658,0.0690253,0.0774747,0.612403,0.922525,0.199885
24,216,≥50,50,189,28173,273,3569658,0.00660031,0.00666385,0.590909,0.993336,0.0162894
24,216,≥100,100,0,4250,4,3569658,0,0,1,1,0.000941176
24,216,≥250,250,0,127,0,3569658,0,0,,1,0
24,240,≥0.1,0.1,875587,233350,928026,3559761,0.429849,0.789573,0.514537,0.210427,1.62643
24,240,≥10,10,66920,206082,105282,3559761,0.176904,0.245126,0.611387,0.754874,0.630772
24,240,≥25,25,5951,94725,13391,3559761,0.0521711,0.0591104,0.692328,0.94089,0.192121
24,240,≥50,50,194,28167,462,3559761,0.00673074,0.00684038,0.704268,0.99316,0.0231304
24,240,≥100,100,0,4250,3,3559761,0,0,1,1,0.000705882
24,240,≥250,250,0,127,0,3559761,0,0,,1,0
24,264,≥0.1,0.1,852223,256016,943191,3549857,0.415429,0.768988,0.525333,0.231012,1.62006
24,264,≥10,10,60837,212160,109310,3549857,0.159131,0.222849,0.642444,0.777151,0.623256
24,264,≥25,25,5017,95656,13969,3549857,0.0437623,0.0498346,0.735753,0.950165,0.188591
24,264,≥50,50,205,28154,508,3549857,0.00710153,0.00722875,0.712482,0.992771,0.0251419
24,264,≥100,100,0,4249,29,3549857,0,0,1,1,0.00682514
24,264,≥250,250,0,127,0,3549857,0,0,,1,0
24,288,≥0.1,0.1,836793,271010,970434,3539952,0.402646,0.755363,0.536974,0.244637,1.63136
24,288,≥10,10,49367,223623,108265,3539952,0.129486,0.180838,0.686821,0.819162,0.577428
24,288,≥25,25,3174,97495,11006,3539952,0.0284218,0.0315291,0.776164,0.968471,0.140858
24,288,≥50,50,154,28204,689,3539952,0.00530175,0.00543057,0.817319,0.994569,0.0297271
24,288,≥100,100,0,4248,4,3539952,0,0,1,1,0.00094162
24,288,≥250,250,0,126,0,3539952,0,0,,1,0
24,312,≥0.1,0.1,826913,279897,1017252,3530039,0.389307,0.747114,0.551606,0.252886,1.6662
24,312,≥10,10,46001,226971,113779,3530039,0.118942,0.168519,0.712098,0.831481,0.585335
