window_h,lead_h,grade,threshold_mm,hits,misses,false_alarms,n_pairs,TS,POD,FAR,漏报率,BIAS
24,24,≥0.1,0.1,1070057,48167,1006301,3648837,0.503669,0.956925,0.484647,0.0430746,1.85684
24,24,≥10,10,182423,90704,146215,3648837,0.435022,0.667905,0.444912,0.332095,1.20324
24,24,≥25,25,41447,59250,34414,3648837,0.306763,0.411601,0.453645,0.588399,0.753359
24,24,≥50,50,6359,22010,6488,3648837,0.182431,0.224153,0.505021,0.775847,0.452853
24,24,≥100,100,394,3859,512,3648837,0.0826863,0.0926405,0.565121,0.90736,0.213026
24,24,≥250,250,2,125,2,3648837,0.0155039,0.015748,0.5,0.984252,0.0314961
24,48,≥0.1,0.1,1056728,61147,956916,3638942,0.509318,0.945301,0.475216,0.0546993,1.80131
24,48,≥10,10,175359,97763,150646,3638942,0.413809,0.642054,0.462097,0.357946,1.19362
24,48,≥25,25,39937,60760,38405,3638942,0.287106,0.396606,0.490222,0.603394,0.777997
24,48,≥50,50,6361,22008,8234,3638942,0.173784,0.224224,0.564166,0.775776,0.51447
24,48,≥100,100,391,3862,749,3638942,0.0781687,0.0919351,0.657018,0.908065,0.268046
24,48,≥250,250,0,127,0,3638942,0,0,,1,0
24,72,≥0.1,0.1,1047958,69563,958734,3629030,0.504735,0.937752,0.477768,0.0622476,1.79566
24,72,≥10,10,169900,103220,160966,3629030,0.391397,0.622071,0.486499,0.377929,1.21143
24,72,≥25,25,38910,61786,44692,3629030,0.267629,0.386411,0.534581,0.613589,0.830242
24,72,≥50,50,6319,22050,10151,3629030,0.164045,0.222743,0.616333,0.777257,0.580563
24,72,≥100,100,397,3856,1052,3629030,0.0748351,0.0933459,0.726018,0.906654,0.340701
24,72,≥250,250,1,126,10,3629030,0.00729927,0.00787402,0.909091,0.992126,0.0866142
24,96,≥0.1,0.1,1036661,79692,965668,3619094,0.497911,0.928614,0.482272,0.071386,1.79363
24,96,≥10,10,161878,111236,165839,3619094,0.368782,0.592712,0.506043,0.407288,1.19993
24,96,≥25,25,36367,64327,46278,3619094,0.247442,0.361164,0.559961,0.638836,0.820754
24,96,≥50,50,5726,22642,10750,3619094,0.146378,0.201847,0.652464,0.798153,0.580795
24,96,≥100,100,342,3911,1136,3619094,0.0634626,0.0804138,0.768606,0.919586,0.347519
24,96,≥250,250,0,127,4,3619094,0,0,1,1,0.0314961
24,120,≥0.1,0.1,1019887,95956,970846,3609182,0.488759,0.914006,0.487683,0.0859942,1.78406
24,120,≥10,10,149923,123187,170557,3609182,0.337918,0.548947,0.532192,0.451053,1.17345
24,120,≥25,25,32261,68431,49101,3609182,0.215371,0.320393,0.603488,0.679607,0.808028
24,120,≥50,50,4901,23466,10933,3609182,0.124707,0.172771,0.690476,0.827229,0.558184
24,120,≥100,100,317,3935,1157,3609182,0.058606,0.0745532,0.784939,0.925447,0.34666
24,120,≥250,250,0,127,0,3609182,0,0,,1,0
24,144,≥0.1,0.1,997805,117332,982433,3599304,0.475696,0.894782,0.496119,0.105218,1.77578
24,144,≥10,10,138047,135059,176455,3599304,0.307071,0.50547,0.561062,0.49453,1.15157
24,144,≥25,25,28622,72068,49587,3599304,0.190462,0.284259,0.634032,0.715741,0.776731
24,144,≥50,50,4103,24262,10889,3599304,0.104524,0.14465,0.726321,0.85535,0.528539
24,144,≥100,100,261,3990,1337,3599304,0.0467072,0.0613973,0.836671,0.938603,0.375912
24,144,≥250,250,0,127,2,3599304,0,0,1,1,0.015748
24,168,≥0.1,0.1,978828,134819,1017443,3589427,0.459309,0.878939,0.509672,0.121061,1.79255
24,168,≥10,10,126065,147020,191372,3589427,0.271424,0.461633,0.602866,0.538367,1.16241
24,168,≥25,25,25273,75413,56044,3589427,0.161252,0.251008,0.689204,0.748992,0.80763
24,168,≥50,50,3464,24900,12564,3589427,0.0846364,0.122127,0.783878,0.877873,0.565082
24,168,≥100,100,283,3968,1365,3589427,0.0503917,0.0665726,0.828277,0.933427,0.387673
24,168,≥250,250,0,127,0,3589427,0,0,,1,0
24,192,≥0.1,0.1,951764,159835,1045043,3579552,0.441318,0.856212,0.523357,0.143788,1.79634
24,192,≥10,10,115759,157271,208665,3579552,0.240316,0.423979,0.643186,0.576021,1.18824
24,192,≥25,25,21525,79155,60986,3579552,0.133145,0.213796,0.739126,0.786204,0.819537
24,192,≥50,50,2941,25422,13015,3579552,0.0710764,0.103691,0.815681,0.896309,0.562564
24,192,≥100,100,205,4045,1306,3579552,0.036897,0.0482353,0.864328,0.951765,0.355529
24,192,≥250,250,0,127,1,3579552,0,0,1,1,0.00787402
24,216,≥0.1,0.1,927235,182744,1075118,3569658,0.424345,0.835363,0.536927,0.164637,1.80396
24,216,≥10,10,103288,169729,222420,3569658,0.208479,0.378321,0.682882,0.621679,1.193
24,216,≥25,25,19745,80933,66039,3569658,0.118434,0.19612,0.769829,0.80388,0.852063
24,216,≥50,50,2383,25979,15124,3569658,0.0547992,0.0840209,0.863883,0.915979,0.61727
24,216,≥100,100,106,4144,1270,3569658,0.0192029,0.0249412,0.922965,0.975059,0.323765
24,216,≥250,250,0,127,6,3569658,0,0,1,1,0.0472441
24,240,≥0.1,0.1,879842,229095,1063713,3559761,0.404963,0.79341,0.547303,0.20659,1.75263
24,240,≥10,10,93271,179731,225898,3559761,0.186953,0.34165,0.707769,0.65835,1.16911
24,240,≥25,25,16357,84319,68613,3559761,0.0966218,0.162472,0.807497,0.837528,0.843995
24,240,≥50,50,1778,26583,13589,3559761,0.0423838,0.0626917,0.884298,0.937308,0.541836
24,240,≥100,100,88,4162,1210,3559761,0.0161172,0.0207059,0.932203,0.979294,0.305412
24,240,≥250,250,0,127,0,3559761,0,0,,1,0
24,264,≥0.1,0.1,841878,266361,1092756,3549857,0.382499,0.759654,0.564839,0.240346,1.74568
24,264,≥10,10,76530,196467,226742,3549857,0.15314,0.280333,0.747652,0.719667,1.1109
24,264,≥25,25,11804,88869,66200,3549857,0.0707364,0.117251,0.848674,0.882749,0.774825
24,264,≥50,50,1347,27012,13868,3549857,0.031899,0.0474981,0.911469,0.952502,0.536514
24,264,≥100,100,60,4189,1325,3549857,0.0107643,0.014121,0.956679,0.985879,0.325959
24,264,≥250,250,0,127,9,3549857,0,0,1,1,0.0708661
24,288,≥0.1,0.1,817100,290703,1122787,3539952,0.366316,0.737586,0.57879,0.262414,1.75111
24,288,≥10,10,69589,203401,224587,3539952,0.139856,0.254914,0.763444,0.745086,1.07761
24,288,≥25,25,10932,89737,62553,3539952,0.0669763,0.108594,0.851235,0.891406,0.729967
24,288,≥50,50,1366,26992,14086,3539952,0.0321836,0.0481698,0.911597,0.95183,0.54489
24,288,≥100,100,79,4169,1932,3539952,0.0127832,0.018597,0.960716,0.981403,0.473399
24,288,≥250,250,0,126,23,3539952,0,0,1,1,0.18254
24,312,≥0.1,0.1,802480,304330,1144488,3530039,0.356452,0.725039,0.587831,0.274961,1.75908
24,312,≥10,10,59000,213972,231131,3530039,0.11704,0.216139,0.796644,0.783861,1.06286
24,312,≥25,25,8324,92344,68271,3530039,0.0492722,0.0826876,0.891324,0.917312,0.760867
24,312,≥50,50,822,27535,14657,3530039,0.0191101,0.0289876,0.946896,0.971012,0.545862
24,312,≥100,100,16,4232,1720,3530039,0.00268097,0.00376648,0.990783,0.996234,0.408663
24,312,≥250,250,0,126,21,3530039,0,0,1,1,0.166667
24,336,≥0.1,0.1,799990,305732,1176094,3520176,0.350594,0.7235,0.595164,0.2765,1.78714
24,336,≥10,10,54678,218259,236225,3520176,0.107388,0.200332,0.81204,0.799668,1.06582
24,336,≥25,25,7697,92963,61235,3520176,0.0475432,0.0764653,0.888339,0.923535,0.6848
24,336,≥50,50,906,27451,11317,3520176,0.0228361,0.0319498,0.925877,0.96805,0.43104
24,336,≥100,100,32,4216,1151,3520176,0.00592702,0.00753296,0.97295,0.992467,0.278484
24,336,≥250,250,0,126,6,3520176,0,0,1,1,0.047619
