window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,6,≥0.1,0.1,0.864396,0.224659,,-0.733155,0.153048,3.65923e+06,
6,6,≥4,4,0.91901,0.0314586,,0.151498,0.0385625,3.65923e+06,
6,6,≥13,13,0.795167,0.0103886,,0.135387,0.0121632,3.65923e+06,
6,6,≥25,25,0.66535,0.00399303,,0.0498379,0.00422028,3.65923e+06,
6,6,AVG,,0.810981,0.0676248,,-0.0991081,,,4
6,12,≥0.1,0.1,0.891385,0.199029,,-0.502152,0.157212,3.66334e+06,
6,12,≥4,4,0.906605,0.0396859,,0.0681864,0.044577,3.66334e+06,
6,12,≥13,13,0.747533,0.0129463,,0.0849421,0.0143541,3.66334e+06,
6,12,≥25,25,0.605885,0.00493974,,0.0190379,0.00506122,3.66334e+06,
6,12,AVG,,0.787852,0.0641503,,-0.0824963,,,4
6,18,≥0.1,0.1,0.90504,0.132018,,-0.0292063,0.151104,3.66348e+06,
6,18,≥4,4,0.878456,0.0306212,,0.146031,0.0372447,3.66348e+06,
6,18,≥13,13,0.730471,0.0100804,,0.0958944,0.0112767,3.66348e+06,
6,18,≥25,25,0.626415,0.00389088,,0.0354428,0.00405025,3.66348e+06,
6,18,AVG,,0.785095,0.0441525,,0.0620406,,,4
6,24,≥0.1,0.1,0.905477,0.12948,,0.0607429,0.165117,3.66013e+06,
6,24,≥4,4,0.91914,0.029831,,0.263975,0.0423209,3.66013e+06,
6,24,≥13,13,0.811646,0.0115381,,0.17389,0.0141675,3.66013e+06,
6,24,≥25,25,0.692871,0.0049983,,0.0700792,0.00540418,3.66013e+06,
6,24,AVG,,0.832283,0.0439618,,0.142172,,,4
6,30,≥0.1,0.1,0.863886,0.217818,,-0.679795,0.153113,3.65923e+06,
6,30,≥4,4,0.916021,0.0308554,,0.167748,0.0385617,3.65923e+06,
6,30,≥13,13,0.800967,0.0102781,,0.144581,0.0121632,3.65923e+06,
6,30,≥25,25,0.667977,0.00396816,,0.0557564,0.00422029,3.65923e+06,
