window_h,lead_h,grade,threshold_mm,hits,misses,false_alarms,n_pairs,TS,POD,FAR,漏报率,BIAS
24,24,≥0.1,0.1,1070392,46352,995460,3638902,0.506765,0.958494,0.481864,0.0415064,1.84989
24,24,≥10,10,181552,91443,135969,3638902,0.443931,0.665038,0.42822,0.334962,1.1631
24,24,≥25,25,38541,62154,26612,3638902,0.302741,0.38275,0.408454,0.61725,0.647033
24,24,≥50,50,4955,23414,3735,3638902,0.154342,0.174662,0.429804,0.825338,0.30632
24,24,≥100,100,213,4040,166,3638902,0.048201,0.0500823,0.437995,0.949918,0.0891136
24,48,≥0.1,0.1,1070121,47754,1018532,3638942,0.500898,0.957281,0.48765,0.0427186,1.86841
24,48,≥10,10,170019,103103,133068,3638942,0.41857,0.622502,0.439042,0.377498,1.10971
24,48,≥25,25,33451,67246,24380,3638942,0.267443,0.332195,0.421573,0.667805,0.574307
24,48,≥50,50,3763,24606,3106,3638942,0.119555,0.132645,0.452176,0.867355,0.24213
24,48,≥100,100,166,4087,194,3638942,0.0373285,0.0390313,0.538889,0.960969,0.0846461
24,72,≥0.1,0.1,1068946,48575,1070461,3629030,0.488553,0.956533,0.500354,0.0434667,1.91442
24,72,≥10,10,164463,108657,143618,3629030,0.394644,0.602164,0.46617,0.397836,1.12801
24,72,≥25,25,31540,69156,27692,3629030,0.245662,0.31322,0.467518,0.68678,0.588226
24,72,≥50,50,3702,24667,3829,3629030,0.114976,0.130495,0.508432,0.869505,0.265466
24,72,≥100,100,111,4142,108,3629030,0.0254529,0.0260992,0.493151,0.973901,0.0514931
24,96,≥0.1,0.1,1066787,49566,1121659,3619094,0.476667,0.9556,0.512537,0.0443999,1.96035
24,96,≥10,10,152676,120438,143573,3619094,0.366405,0.559019,0.484636,0.440981,1.08471
24,96,≥25,25,26702,73992,26083,3619094,0.210622,0.26518,0.494137,0.73482,0.524212
24,96,≥50,50,2651,25717,3224,3619094,0.0839136,0.0934504,0.548766,0.90655,0.2071
24,96,≥100,100,113,4140,94,3619094,0.0259949,0.0265695,0.454106,0.973431,0.0486715
24,120,≥0.1,0.1,1066554,49289,1199946,3609182,0.460558,0.955828,0.529427,0.044172,2.0312
24,120,≥10,10,142069,131041,151309,3609182,0.334738,0.52019,0.515748,0.47981,1.07421
24,120,≥25,25,22600,78092,24373,3609182,0.180706,0.224447,0.518873,0.775553,0.466502
24,120,≥50,50,2160,26207,2811,3609182,0.0692796,0.0761448,0.56548,0.923855,0.175239
24,120,≥100,100,81,4171,62,3609182,0.0187761,0.0190499,0.433566,0.98095,0.0336312
24,144,≥0.1,0.1,1066187,48950,1285884,3599304,0.444056,0.956104,0.546703,0.043896,2.10922
